source_id,file_name,source_title,publisher,publish_date,source_type,region_scope,source_url,local_path,download_status
HLJ-001,2026_黑龙江备春耕大豆生产技术指导意见.html,2026年黑龙江备春耕大豆生产技术指导意见,黑龙江省农业农村厅,2026-03,html,黑龙江省,https://nynct.hlj.gov.cn/nynct/c115393/202603/c00_31919966.shtml,knowledge_base\raw_sources\hlj\2026_黑龙江备春耕大豆生产技术指导意见.html,success
HLJ-002,2025_黑龙江主要粮食作物科学施肥技术指导意见.html,2025年黑龙江主要粮食作物科学施肥技术指导意见,黑龙江省农业农村厅,2025-03,html,黑龙江省,https://nynct.hlj.gov.cn/nynct/c115385/202503/c00_31821370.shtml,knowledge_base\raw_sources\hlj\2025_黑龙江主要粮食作物科学施肥技术指导意见.html,success
HLJ-003,2026_黑龙江农作物主要病虫草鼠害防控指导意见.html,2026年黑龙江农作物主要病虫草鼠害防控指导意见,黑龙江省农业农村厅,2026-02,html,黑龙江省,https://nynct.hlj.gov.cn/nynct/c115423/202602/c00_31911356.shtml,knowledge_base\raw_sources\hlj\2026_黑龙江农作物主要病虫草鼠害防控指导意见.html,success
HLJ-004,2026_黑龙江农作物主要病虫草鼠害防控指导意见.pdf,2026年黑龙江省农作物主要病虫草鼠害防控指导意见（PDF附件）,黑龙江省农业农村厅,2026-02,pdf,黑龙江省,https://nynct.hlj.gov.cn/nynct/c115423/202602/31911356/files/%E5%85%B3%E4%BA%8E%E5%8D%B0%E5%8F%91%E3%80%8A2026%E5%B9%B4%E9%BB%91%E9%BE%99%E6%B1%9F%E7%9C%81%E5%86%9C%E4%BD%9C%E7%89%A9%E4%B8%BB%E8%A6%81%E7%97%85%E8%99%AB%E8%8D%89%E9%BC%A0%E5%AE%B3%E9%98%B2%E6%8E%A7%E6%8C%87%E5%AF%BC%E6%84%8F%E8%A7%81%E3%80%8B%E7%9A%84%E9%80%9A%E7%9F%A5.pdf,knowledge_base\raw_sources\hlj\2026_黑龙江农作物主要病虫草鼠害防控指导意见.pdf,success
HLJ-005,2025_黑龙江农业主推技术.pdf,2025年黑龙江省农业主推技术,黑龙江省农业农村厅,2025-03,pdf,黑龙江省,https://nynct.hlj.gov.cn/nynct/c115423/202503/31825925/files/2025%E5%B9%B4%E9%BB%91%E9%BE%99%E6%B1%9F%E7%9C%81%E5%86%9C%E4%B8%9A%E4%B8%BB%E6%8E%A8%E6%8A%80%E6%9C%AF.pdf,knowledge_base\raw_sources\hlj\2025_黑龙江农业主推技术.pdf,success
HLJ-006,2025_黑龙江农作物栽培技术模式汇编.pdf,2025年黑龙江省农作物栽培技术模式汇编,黑龙江省农业农村厅,2025-02,pdf,黑龙江省,https://nynct.hlj.gov.cn/nynct/c115423/202502/31810960/files/2025%E5%B9%B4%E9%BB%91%E9%BE%99%E6%B1%9F%E7%9C%81%E5%86%9C%E4%BD%9C%E7%89%A9%E6%A0%BD%E5%9F%B9%E6%8A%80%E6%9C%AF%E6%A8%A1%E5%BC%8F%E6%B1%87%E7%BC%96.pdf,knowledge_base\raw_sources\hlj\2025_黑龙江农作物栽培技术模式汇编.pdf,success
HLJ-007,2025_黑龙江科学施肥增效项目实施方案.pdf,黑龙江省2025年科学施肥增效项目实施方案,黑龙江省农业农村厅,2025-11,pdf,黑龙江省,https://nynct.hlj.gov.cn/nynct/c115423/202511/31890865/files/%E9%99%84%E4%BB%B61.%E9%BB%91%E9%BE%99%E6%B1%9F%E7%9C%812025%E5%B9%B4%E7%A7%91%E5%AD%A6%E6%96%BD%E8%82%A5%E5%A2%9E%E6%95%88%E9%A1%B9%E7%9B%AE%E5%AE%9E%E6%96%BD%E6%96%B9%E6%A1%88.pdf,knowledge_base\raw_sources\hlj\2025_黑龙江科学施肥增效项目实施方案.pdf,success
MOA-001,大豆根瘤菌接种及配套施肥技术指导意见.html,大豆根瘤菌接种及配套施肥技术指导意见,农业农村部,2022-01,html,全国,https://www.moa.gov.cn/gk/nszd_1/2021/202201/t20220120_6387235.htm,knowledge_base\raw_sources\moa\大豆根瘤菌接种及配套施肥技术指导意见.html,success
MOA-002,农事指导_索引页.html,农业农村部农事指导索引（第11页）,农业农村部,ongoing,html,全国,https://www.moa.gov.cn/gk/nszd_1/index_11.htm,knowledge_base\raw_sources\moa\农事指导_索引页.html,success
EXT-001,iowa_soybean_fertilization.html,Nutrient Requirements of Soybean (Iowa State Extension),Iowa State University Extension,ongoing,html,USA/Iowa,https://crops.extension.iastate.edu/encyclopedia/nutrient-requirements-soybean,knowledge_base\raw_sources\extension\iowa_soybean_fertilization.html,success
EXT-002,umn_soybean_growth_stages.html,Soybean Growth Stages (University of Minnesota Extension),University of Minnesota Extension,ongoing,html,USA/Minnesota,https://extension.umn.edu/growing-soybean/soybean-growth-stages,knowledge_base\raw_sources\extension\umn_soybean_growth_stages.html,success
FAO-001,fao_soybean_water_management.html,FAO Soybean Crop Information (Water Management),FAO,ongoing,html,Global,https://www.fao.org/land-water/databases-and-software/crop-information/soybean/en/,knowledge_base\raw_sources\fao\fao_soybean_water_management.html,success
